Part Number ,Product Description,Category,
ACK540,"Mini Keyboard with Touch Pad - PS/2 Cable (Black)
[Dimension(approx.): L-29cm   W-22cm   88keys]",Keyboard,
ACK540U,Mini Keyboard with Touch Pad - USB Cable (Black),Keyboard,
ACK595 ,"Mini Keyboard with PS/2 Cable (Ivory)
[Dimension(approx.): L-29cm   W-14.5cm   88keys]",Keyboard,
ACK595,Mini Keyboard with USB Cable (Ivory),Keyboard,
ACK5010,"Mini Keyboard with TrackBall - P/S2 Cable (Black)
[Dimension(approx.): L-34cm   W-17cm   88keys]",Keyboard,
J842120LUAUS2,Cherry Backlit Washable Industrial & Medical Keyboard - Black,Keyboard,
Q5-580TP2U,Qrush 82Keys Keyboard with TouchPad - USB (Black),Keyboard,
Q5-580TB2P,Qrush 82Keys Keyboard with TrackBall - PS/2 Cable (Black),Keyboard,
Q5-580TB2U,"Qrush 82Keys Keyboard with TrackBall - USB Cable (Black)
[Dimension(approx.): L-37cm   W-14cm   82keys]",Keyboard,
Q5-668,"Qrush Multimedia Mini Keyboard Silver/Black with USB Cable (Black/Silver)
[Dimension(approx.): L-28.5cm   W-13.5cm   89keys]",Keyboard,
Q5-680,Qrush Mini Keyboard Silver/Black with USB Cable (Black/Silver),Keyboard,
Q5-690,Qrush 104Keys Keyboard with P/S2 Cable (Black),Keyboard,
Q5-690U,"Qrush 104Keys Keyboard with USB Cable 
[Dimension(approx.): L-44.5cm   W-14.5cm   107keys]",Keyboard,
Q5-590,Qrush Mini Keyboard with USB Cable - Black Color,Keyboard,
,[Dimension(approx.): L-27cm   W-13.5cm   88keys],Keyboard,
Q5-74,Qrush USB Number Pad - USB Cable,Keyboard,
Q6-1312,Qrush 12-in-1 Card Reader with 3 Port Hub ver 2.0,USB HUB and Card Reader,
Q6-1300,Qrush USB Hi-Speed 7Port HUB ver 2.0 with Cable,USB HUB and Card Reader,
Q6-1400,Qrush USB Hi Speed 4 Port HUB ver 2.0 with Cable,USB HUB and Card Reader,
Q6-1500,Qrush USB 3.0 4-port HUB,USB HUB and Card Reader,
Q6-1213,Qrush USB Hi-Speed 7Port HUB ver 3.0 with Cable,USB HUB and Card Reader,
Q5-1475,Qrush Internal Card Reader All-in-One - USB2.0,USB HUB and Card Reader,
Q5-1476,"5.25"" Bay Mounted Mult Function Panel, Multi Flash Media Card Reader & Writer + USB Hub + 1394 Port + Audio Port + SATA Port Card Reader",USB HUB and Card Reader,
Q2-250S,"Qrush 2.5"" Hard Disk Enclosure - USB2.0 (only can support SATA HDD)",Enclosure,
Q2-560,"Qrush 2.5"" Hard Hisk Enclosure USB2.0 & IEEE1394 COMBO",Enclosure,
Q2-540,"Qrush 2.5"" Hard Disk Enclosure USB 2.0(NEC Chip Set) with Caring Case",Enclosure,
Q2-525U,"Qrush 5.25"" CD/DVD/RW Enclosure USB2.0 with Audio Output/Input",Enclosure,
Q2-351UF,"Qrush 3.5"" Screwless Hard Disk Enclosure with Fan USB2.0",Enclosure,
Q1-330,Qrush Computer Notebook Security Cable Key Lock,Other Qrush Products,
,"Satin Chrome Plated, Cable 6.0Ft x 5.0mm in Diameter",Other Qrush Products,
Q1-350,Qrush 5 in 1 multi Cable Lock for Monitor,Other Qrush Products,
Q4.11,Qrush Ipod Speaker with adapter - Black or White,Other Qrush Products,
Q4.22,"Qrush Earphone, Microphone: 6x5/58+2dB, Impedance: 32Ohm(1KHz)
Frequency Response: 8-22,000KHz, Cord Length: Approx: 2 to 2.5M",Other Qrush Products,
Q4.23,"Qrush Earphone, Impedance: 32Ohm at 1KHz, Sensitivity:105 dB/mW
Frequency Response: 20~20,000Hz, Cord Length: Approx. 1.2M",Other Qrush Products,
Q4.26,"Qrush Stereo PC Headset. 
Impendance: 32Ω ± 15%, Frequency Response: 20hz~20Khz, 
Cord Length: 2.2m, Plug: Ø3.5mm stereo",Other Qrush Products,
Q1-300,"Qrush Computer Notebook Security Cable Number Lock
6mm x 180cm - Black Cable (4 Digits)",Other Qrush Products,
Q1-599,Qrush 4-digits Dual-Mechanism Computer Security Lock for Notebook,Other Qrush Products,
Q2-701,Qrush USB2.0 Slim External DVD RW Drive,Other Qrush Products,
Q2-750,Qrush 12.7mm USB2.0 DVD Writer Enclosure,Other Qrush Products,
Q8-1MP,Qrush Mouse Pad,Other Qrush Products,
S-2130,DCOM Multimedia Stereo Speaker System,Other Qrush Products,
FD-05PUB,Qrush USB Floppy Drive,Other Qrush Products,
U32IS,2.5' 3.5' IDE SATA USB2.0 ALL-IN-ONE HDD DOCKING,Other Qrush Products,
,,,
